#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
95,ias_36_role-D832410b,http://dart.fss.or.kr/role/ifrs/ias_36_role-D832410b,link:definitionLink ,[D832410b] 주석 - 자산손상 - 연결 | Notes - Impairment of assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
96,ias_36_role-D832410c,http://dart.fss.or.kr/role/ifrs/ias_36_role-D832410c,link:definitionLink ,[D832410c] 주석 - 자산손상 - 연결 | Notes - Impairment of assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
97,ias_36_role-D832410d,http://dart.fss.or.kr/role/ifrs/ias_36_role-D832410d,link:definitionLink ,[D832410d] 주석 - 자산손상 - 연결 | Notes - Impairment of assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
98,ias_37_role-D827570,http://dart.fss.or.kr/role/ifrs/ias_37_role-D827570,link:presentationLink link:definitionLink ,"[D827570] 주석 - 기타충당부채, 우발부채 및 우발자산에 대한 주석 - 연결 | Notes - Other provisions, contingent liabilities and contingent assets - Consolidated financial statements",dart_all_2024-06-30.xsd,
99,ias_37_role-D827570a,http://dart.fss.or.kr/role/ifrs/ias_37_role-D827570a,link:definitionLink ,"[D827570a] 주석 - 기타충당부채, 우발부채 및 우발자산에 대한 주석 - 연결 | Notes - Other provisions, contingent liabilities and contingent assets - Consolidated financial statements",dart_all_2024-06-30.xsd,
100,ias_37_role-D827570b,http://dart.fss.or.kr/role/ifrs/ias_37_role-D827570b,link:definitionLink ,"[D827570b] 주석 - 기타충당부채, 우발부채 및 우발자산에 대한 주석 - 연결 | Notes - Other provisions, contingent liabilities and contingent assets - Consolidated financial statements",dart_all_2024-06-30.xsd,
101,ias_38_role-D823180,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823180,link:presentationLink link:definitionLink ,[D823180] 주석 - 무형자산 - 연결 | Notes - Intangible assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
102,ias_38_role-D823180a,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823180a,link:definitionLink ,[D823180a] 주석 - 무형자산 - 연결 | Notes - Intangible assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
103,ias_38_role-D823180b,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823180b,link:definitionLink ,[D823180b] 주석 - 무형자산 - 연결 | Notes - Intangible assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
104,ias_38_role-D823180c,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823180c,link:definitionLink ,[D823180c] 주석 - 무형자산 - 연결 | Notes - Intangible assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
105,ias_40_role-D825100,http://dart.fss.or.kr/role/ifrs/ias_40_role-D825100,link:presentationLink link:definitionLink ,[D825100] 주석 - 투자부동산 - 연결 | Notes - Investment property - Consolidated financial statements,dart_all_2024-06-30.xsd,
106,ias_41_role-D824180,http://dart.fss.or.kr/role/ifrs/ias_41_role-D824180,link:presentationLink link:definitionLink ,[D824180] 주석 - 농림어업 - 연결 | Notes - Agriculture - Consolidated financial statements,dart_all_2024-06-30.xsd,
107,ias_41_role-D824180a,http://dart.fss.or.kr/role/ifrs/ias_41_role-D824180a,link:definitionLink ,[D824180a] 주석 - 농림어업 - 연결 | Notes - Agriculture - Consolidated financial statements,dart_all_2024-06-30.xsd,
108,ias_41_role-D824180b,http://dart.fss.or.kr/role/ifrs/ias_41_role-D824180b,link:definitionLink ,[D824180b] 주석 - 농림어업 - 연결 | Notes - Agriculture - Consolidated financial statements,dart_all_2024-06-30.xsd,
109,ias_7_role-D851100,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851100,link:presentationLink link:definitionLink ,[D851100] 주석 - 현금흐름표 - 연결 | Notes - Cash flow statement - Consolidated financial statements,dart_all_2024-06-30.xsd,
110,ias_7_role-D800300,http://dart.fss.or.kr/role/ifrs/ias_7_role-D800300,link:presentationLink link:definitionLink ,"[D800300] 주석 - 현금흐름표, 추가공시 - 연결 | Notes - Statement of cash flows, additional disclosures - Consolidated financial statements",dart_all_2024-06-30.xsd,
111,ias_8_role-D811000,http://dart.fss.or.kr/role/ifrs/ias_8_role-D811000,link:presentationLink link:definitionLink ,"[D811000] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 연결 | Notes - Accounting policies, changes in accounting estimates and errors - Consolidated financial statements",dart_all_2024-06-30.xsd,
112,ias_8_role-D811000a,http://dart.fss.or.kr/role/ifrs/ias_8_role-D811000a,link:definitionLink ,"[D811000a] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 연결 | Notes - Accounting policies, changes in accounting estimates and errors - Consolidated financial statements",dart_all_2024-06-30.xsd,
113,ias_8_role-D811000b,http://dart.fss.or.kr/role/ifrs/ias_8_role-D811000b,link:definitionLink ,"[D811000b] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 연결 | Notes - Accounting policies, changes in accounting estimates and errors - Consolidated financial statements",dart_all_2024-06-30.xsd,
114,ias_8_role-D811000c,http://dart.fss.or.kr/role/ifrs/ias_8_role-D811000c,link:definitionLink ,"[D811000c] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 연결 | Notes - Accounting policies, changes in accounting estimates and errors - Consolidated financial statements",dart_all_2024-06-30.xsd,
115,ifric_2_role-D868500,http://dart.fss.or.kr/role/ifrs/ifric_2_role-D868500,link:presentationLink link:definitionLink ,[D868500] 주석 - 조합원 지분과 유사지분 - 연결 | Notes - Members' shares in co-operative entities and similar instruments - Consolidated financial statements,dart_all_2024-06-30.xsd,
116,ifric_5_role-D868200,http://dart.fss.or.kr/role/ifrs/ifric_5_role-D868200,link:presentationLink link:definitionLink ,"[D868200] 주석 - 사후처리, 복구, 정화를 위한 기금에서 발생한 지분에 대한 권리 - 연결 | Notes - Rights to interests arising from decommissioning, restoration and environmental rehabilitation funds - Consolidated financial statements",dart_all_2024-06-30.xsd,
117,ifrs_1_role-D819100,http://dart.fss.or.kr/role/ifrs/ifrs_1_role-D819100,link:presentationLink link:definitionLink ,[D819100] 주석 - 최초채택 - 연결 | Notes - First time adoption - Consolidated financial statements,dart_all_2024-06-30.xsd,
118,ifrs_1_role-D819100a,http://dart.fss.or.kr/role/ifrs/ifrs_1_role-D819100a,link:definitionLink ,[D819100a] 주석 - 최초채택 - 연결 | Notes - First time adoption - Consolidated financial statements,dart_all_2024-06-30.xsd,
119,ifrs_1_role-D819100b,http://dart.fss.or.kr/role/ifrs/ifrs_1_role-D819100b,link:definitionLink ,[D819100b] 주석 - 최초채택 - 연결 | Notes - First time adoption - Consolidated financial statements,dart_all_2024-06-30.xsd,
120,ifrs_1_role-D819100c,http://dart.fss.or.kr/role/ifrs/ifrs_1_role-D819100c,link:definitionLink ,[D819100c] 주석 - 최초채택 - 연결 | Notes - First time adoption - Consolidated financial statements,dart_all_2024-06-30.xsd,
121,ifrs_12_role-D825700,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700,link:presentationLink link:definitionLink ,[D825700] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
122,ifrs_12_role-D825700a,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700a,link:definitionLink ,[D825700a] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
123,ifrs_12_role-D825700b,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700b,link:definitionLink ,[D825700b] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
124,ifrs_12_role-D825700c,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700c,link:definitionLink ,[D825700c] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
125,ifrs_12_role-D825700d,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700d,link:definitionLink ,[D825700d] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
126,ifrs_12_role-D825700e,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700e,link:definitionLink ,[D825700e] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
127,ifrs_12_role-D825700f,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700f,link:definitionLink ,[D825700f] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
128,ifrs_12_role-D825700g,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700g,link:definitionLink ,[D825700g] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
129,ifrs_13_role-D823000,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000,link:presentationLink link:definitionLink ,[D823000] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
130,ifrs_13_role-D823000a,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000a,link:definitionLink ,[D823000a] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
131,ifrs_13_role-D823000b,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000b,link:definitionLink ,[D823000b] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
132,ifrs_13_role-D823000c,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000c,link:definitionLink ,[D823000c] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
133,ifrs_13_role-D823000d,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000d,link:definitionLink ,[D823000d] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
134,ifrs_13_role-D823000e,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000e,link:definitionLink ,[D823000e] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
135,ifrs_13_role-D823000f,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000f,link:definitionLink ,[D823000f] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
136,ifrs_13_role-D823000g,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000g,link:definitionLink ,[D823000g] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
137,ifrs_13_role-D823000h,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000h,link:definitionLink ,[D823000h] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
138,ifrs_13_role-D823000i,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000i,link:definitionLink ,[D823000i] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
139,ifrs_14_role-D824500,http://dart.fss.or.kr/role/ifrs/ifrs_14_role-D824500,link:presentationLink link:definitionLink ,[D824500] 주석 - 규제이연계정 - 연결 | Regulatory deferral accounts - Consolidated financial statements,dart_all_2024-06-30.xsd,
140,ifrs_14_role-D824500a,http://dart.fss.or.kr/role/ifrs/ifrs_14_role-D824500a,link:definitionLink ,[D824500a] 주석 - 규제이연계정 - 연결 | Regulatory deferral accounts - Consolidated financial statements,dart_all_2024-06-30.xsd,
141,ifrs_15_role-D831150,http://dart.fss.or.kr/role/ifrs/ifrs_15_role-D831150,link:presentationLink link:definitionLink ,[D831150] 주석 - 고객과의 계약에서 생기는 수익 - 연결 | Notes - Revenue from contracts with customers - Consolidated financial statements,dart_all_2024-06-30.xsd,
142,ifrs_15_role-D831150a,http://dart.fss.or.kr/role/ifrs/ifrs_15_role-D831150a,link:definitionLink ,[D831150a] 주석 - 고객과의 계약에서 생기는 수익 - 연결 | Notes - Revenue from contracts with customers - Consolidated financial statements,dart_all_2024-06-30.xsd,
143,ifrs_15_role-D831150b,http://dart.fss.or.kr/role/ifrs/ifrs_15_role-D831150b,link:definitionLink ,[D831150b] 주석 - 고객과의 계약에서 생기는 수익 - 연결 | Notes - Revenue from contracts with customers - Consolidated financial statements,dart_all_2024-06-30.xsd,
144,ifrs_15_role-D831150c,http://dart.fss.or.kr/role/ifrs/ifrs_15_role-D831150c,link:definitionLink ,[D831150c] 주석 - 고객과의 계약에서 생기는 수익 - 연결 | Notes - Revenue from contracts with customers - Consolidated financial statements,dart_all_2024-06-30.xsd,
145,ifrs_16_role-D832610,http://dart.fss.or.kr/role/ifrs/ifrs_16_role-D832610,link:presentationLink link:definitionLink ,[D832610] 주석 - 리스(자산및부채) - 연결 | Notes - Leases - Consolidated financial statements,dart_all_2024-06-30.xsd,
146,ifrs_16_role-D832610a,http://dart.fss.or.kr/role/ifrs/ifrs_16_role-D832610a,link:definitionLink ,[D832610a] 주석 - 리스(자산및부채) - 연결 |Notes - Leases - Consolidated financial statements,dart_all_2024-06-30.xsd,
147,ifrs_16_role-D832610b,http://dart.fss.or.kr/role/ifrs/ifrs_16_role-D832610b,link:definitionLink ,[D832610b] 주석 - 리스(자산및부채) - 연결 |Notes - Leases - Consolidated financial statements,dart_all_2024-06-30.xsd,
148,ifrs_17_role-D836600,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600,link:presentationLink link:definitionLink ,[D836600] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
149,ifrs_17_role-D836600a,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600a,link:definitionLink ,[D836600a] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
150,ifrs_17_role-D836600b,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600b,link:definitionLink ,[D836600b] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
151,ifrs_17_role-D836600c,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600c,link:definitionLink ,[D836600c] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
152,ifrs_17_role-D836600d,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600d,link:definitionLink ,[D836600d] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
153,ifrs_17_role-D836600e,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600e,link:definitionLink ,[D836600e] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
154,ifrs_17_role-D836600f,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600f,link:definitionLink ,[D836600f] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
155,ifrs_17_role-D836600g,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600g,link:definitionLink ,[D836600g] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
156,ifrs_17_role-D836600h,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600h,link:definitionLink ,[D836600h] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
157,ifrs_17_role-D836600i,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600i,link:definitionLink ,[D836600i] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
158,ifrs_17_role-D836600j,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600j,link:definitionLink ,[D836600j] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
