#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
45,dart_2024-06-30_role-DS220005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS220005,link:presentationLink link:calculationLink link:definitionLink ,"[DS220005] 재무상태표, 증권 - 별도 | Statement of Financial Position, Securities Based - Separate financial statements",dart_all_2024-06-30.xsd,
46,dart_2024-06-30_role-DX220005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX220005,link:presentationLink link:calculationLink link:definitionLink ,"[DX220005] 재무상태표, 기타 - 별도 | Statement of Financial Position, Others - Separate financial statements",dart_all_2024-06-30.xsd,
47,dart_2024-06-30_role-DB320005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB320005,link:presentationLink link:calculationLink link:definitionLink ,"[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements",dart_all_2024-06-30.xsd,
48,dart_2024-06-30_role-DI320005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI320005,link:presentationLink link:calculationLink link:definitionLink ,"[DI320005] 포괄손익계산서, 보험 - 별도 | Statement of Comprehensive Income, Insurance Based - Separate financial statements",dart_all_2024-06-30.xsd,
49,dart_2024-06-30_role-DS320005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS320005,link:presentationLink link:calculationLink link:definitionLink ,"[DS320005] 포괄손익계산서, 증권 - 별도 | Statement of Comprehensive Income, Securities Based - Separate financial statements",dart_all_2024-06-30.xsd,
50,dart_2024-06-30_role-DX320005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX320005,link:presentationLink link:calculationLink link:definitionLink ,"[DX320005] 포괄손익계산서, 기타 - 별도 | Statement of Comprehensive Income, Others - Separate financial statements",dart_all_2024-06-30.xsd,
51,dart_2024-06-30_role-DB520005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB520005,link:presentationLink link:calculationLink link:definitionLink ,"[DB520005] 현금흐름표, 은행 - 별도 | Statement of Cash Flows, Deposit Based - Separate financial statements",dart_all_2024-06-30.xsd,
52,dart_2024-06-30_role-DI520005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI520005,link:presentationLink link:calculationLink link:definitionLink ,"[DI520005] 현금흐름표, 보험 - 별도 | Statement of Cash Flows, Insurance Based - Separate financial statements",dart_all_2024-06-30.xsd,
53,dart_2024-06-30_role-DS520005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS520005,link:presentationLink link:calculationLink link:definitionLink ,"[DS520005] 현금흐름표, 증권 - 별도 | Statement of Cash Flows, Securities Based - Separate financial statements",dart_all_2024-06-30.xsd,
54,dart_2024-06-30_role-DX520005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX520005,link:presentationLink link:calculationLink link:definitionLink ,"[DX520005] 현금흐름표, 기타 - 별도 | Statement of Cash Flows, Others - Separate financial statements",dart_all_2024-06-30.xsd,
55,dart_2024-06-30_role-DB610005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB610005,link:presentationLink link:calculationLink link:definitionLink ,"[DB610005] 자본변동표, 은행 - 별도 | Statement of Changes in Equity, Deposit Based - Separate financial statements",dart_all_2024-06-30.xsd,
