#,prefix,name,id,type,enumerations,substitutionGroup,balance,periodType,abstract,nillable,typedDomainRef,ext. enum domain,ext. enum linkrole,ext. enum headUsable,comment
5294,ifrs-full,ExplanationOfCreditRiskManagementPracticesAndHowTheyRelateToRecognitionAndMeasurementOfExpectedCreditLossesExplanatory,ifrs-full_ExplanationOfCreditRiskManagementPracticesAndHowTheyRelateToRecognitionAndMeasurementOfExpectedCreditLossesExplanatory,nonnum:textBlockItemType,,xbrli:item,,duration,,true,,,,,
5295,ifrs-full,ExplanationOfDepartureFromIFRS,ifrs-full_ExplanationOfDepartureFromIFRS,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5296,ifrs-full,ExplanationOfDesignatedFinancialAssetsThatAreHeldOutsideLegalEntityThatIssuesContractsWithinScopeOfIFRS4,ifrs-full_ExplanationOfDesignatedFinancialAssetsThatAreHeldOutsideLegalEntityThatIssuesContractsWithinScopeOfIFRS4,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5297,ifrs-full,ExplanationOfDetailsOfAnyInvestmentInEmployer,ifrs-full_ExplanationOfDetailsOfAnyInvestmentInEmployer,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5298,ifrs-full,ExplanationOfDetailsOfGuaranteesGivenOrReceivedOfOutstandingBalancesForRelatedPartyTransaction,ifrs-full_ExplanationOfDetailsOfGuaranteesGivenOrReceivedOfOutstandingBalancesForRelatedPartyTransaction,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5299,ifrs-full,ExplanationOfDetailsOfInvestmentExceedingEitherFivePerCentOfNetAssetsAvailableForBenefitsOrFivePerCentOfAnyClassOrTypeOfSecurity,ifrs-full_ExplanationOfDetailsOfInvestmentExceedingEitherFivePerCentOfNetAssetsAvailableForBenefitsOrFivePerCentOfAnyClassOrTypeOfSecurity,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5300,ifrs-full,ExplanationOfDifferenceBetweenOperatingLeaseCommitmentsDisclosedApplyingIAS17AndLeaseLiabilitiesRecognisedAtDateOfInitialApplicationOfIFRS16Explanatory,ifrs-full_ExplanationOfDifferenceBetweenOperatingLeaseCommitmentsDisclosedApplyingIAS17AndLeaseLiabilitiesRecognisedAtDateOfInitialApplicationOfIFRS16Explanatory,nonnum:textBlockItemType,,xbrli:item,,duration,,true,,,,,
5301,ifrs-full,ExplanationOfDirectMeasurementOfFairValueOfGoodsOrServicesReceived,ifrs-full_ExplanationOfDirectMeasurementOfFairValueOfGoodsOrServicesReceived,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5302,ifrs-full,ExplanationOfDisposalOfInvestmentPropertyCarriedAtCostOrInAccordanceWithIFRS16WithinFairValueModel,ifrs-full_ExplanationOfDisposalOfInvestmentPropertyCarriedAtCostOrInAccordanceWithIFRS16WithinFairValueModel,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5303,ifrs-full,ExplanationOfEffectOfChangeForBiologicalAssetForWhichFairValueBecomesReliablyMeasurable,ifrs-full_ExplanationOfEffectOfChangeForBiologicalAssetForWhichFairValueBecomesReliablyMeasurable,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5304,ifrs-full,ExplanationOfEffectOfChangesInAssumptionsToMeasureInsuranceAssetsAndInsuranceLiabilities,ifrs-full_ExplanationOfEffectOfChangesInAssumptionsToMeasureInsuranceAssetsAndInsuranceLiabilities,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5305,ifrs-full,ExplanationOfEffectOfChangesInCompositionOfEntityDuringInterimPeriod,ifrs-full_ExplanationOfEffectOfChangesInCompositionOfEntityDuringInterimPeriod,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5306,ifrs-full,ExplanationOfEffectOfChangesInPlanToSellNoncurrentAssetOrDisposalGroupHeldForSaleOnResultsOfOperationsForCurrentPeriod,ifrs-full_ExplanationOfEffectOfChangesInPlanToSellNoncurrentAssetOrDisposalGroupHeldForSaleOnResultsOfOperationsForCurrentPeriod,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5307,ifrs-full,ExplanationOfEffectOfChangesInPlanToSellNoncurrentAssetOrDisposalGroupHeldForSaleOnResultsOfOperationsForPriorPeriod,ifrs-full_ExplanationOfEffectOfChangesInPlanToSellNoncurrentAssetOrDisposalGroupHeldForSaleOnResultsOfOperationsForPriorPeriod,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5308,ifrs-full,ExplanationOfEffectOfSharebasedPaymentsOnFinancialPositions,ifrs-full_ExplanationOfEffectOfSharebasedPaymentsOnFinancialPositions,nonnum:textBlockItemType,,xbrli:item,,duration,,true,,,,,
5309,ifrs-full,ExplanationOfEffectOfSharebasedPaymentsOnProfitOrLoss,ifrs-full_ExplanationOfEffectOfSharebasedPaymentsOnProfitOrLoss,nonnum:textBlockItemType,,xbrli:item,,duration,,true,,,,,
5310,ifrs-full,ExplanationOfEffectOfTransitionOnReportedCashFlows,ifrs-full_ExplanationOfEffectOfTransitionOnReportedCashFlows,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5311,ifrs-full,ExplanationOfEffectOfTransitionOnReportedFinancialPerformance,ifrs-full_ExplanationOfEffectOfTransitionOnReportedFinancialPerformance,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5312,ifrs-full,ExplanationOfEffectOfTransitionOnReportedFinancialPosition,ifrs-full_ExplanationOfEffectOfTransitionOnReportedFinancialPosition,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
